route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
2441_393,272,612201,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612202,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612203,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612204,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612205,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612206,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612207,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612208,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612232,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612252,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612253,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612254,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612255,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612256,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612257,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612258,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612259,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612260,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612261,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612262,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612297,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_395,272,612301,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612302,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612303,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612304,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612305,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612306,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612307,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612308,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612309,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,612310,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,213,635959,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,635960,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_395,213,635961,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_393,213,635968,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
